,Brand,Categorie,Description,Name,Photo,Price
182, Jimmy The Juice Man,e_liquide,"Savourez le délicieux e liquide Crème Brûlée Jimmy The Juice Man ❤. Ce e-liquide Mix & Vape USA ✔ et ses saveurs originales de crème brûlée à souhait, ses notes de sucre roux et de caramel fondu sur une onctueuse vanille custard sur lesquelles s'ajoute une note subtile de banane flambée fera chavirer les papilles des vapoteurs gourmands.",Crème brûlée 50ml - Jimmy The Juice Man,https://www.evaps.fr/documents/media/images/contenu/creme-brulee-jimmy-the-juice-man.jpg,24.90
227, Greeneo,e_liquide,Vivez de nouvelles sensations avec le  e liquide CBD OG Kush Greeneo ❤ ,OG kush CBD - Greeneo,https://www.evaps.fr/documents/media/images/contenu/og-kush-cbd-greeneo.jpg,15.90
425, Halo White label,diy,La complexité parfaitement dosée du concentré Whisper White Label ne laissera pas de marbre les vapoteurs amateurs de saveurs recherchées ❤,Arôme Whisper - Halo White label,https://www.evaps.fr/documents/media/images/contenu/whisper-halo-arome-white-label.jpg,4.90
419, Full Milk,diy,"Full Moon © vous présente la version gourmande de l'arôme Blue, le Blue Full Milk !",Blue - Full Milk,https://www.evaps.fr/documents/media/images/contenu/blue-full-milk.jpg,5.90
224, Furiosa Vapor,e_liquide,L'e liquide Furiosa Ice Beam 40ml ❤ vous offrira sans aucune concession une explosion sauvage de force et de fraîcheur ✔,Ice Beam 40ml - Furiosa Vapor,https://www.evaps.fr/documents/media/images/contenu/ice-beam-40ml-furiosa.jpg,20.00
340, Dude's,diy,"Le concentré Peach Raspberry Dudes 30ml ❤ sera l'arôme idéal pour les vapoteurs hésitant entre fruit doux et plus acidulé, aucun compromis ✔",Peach Raspberry - Dude's,https://www.evaps.fr/documents/media/images/contenu/peach-raspberry-dude-s.jpg,13.90
444, Readiy,diy,Sucrez vos recettes DIY et eliquides avec l'additif Diy E liquid sweetener ✔,Additif Sweetener - Readiy,https://www.evaps.fr/documents/media/images/contenu/additif-sweetener-readiy.jpg,3.50
453, Readiy,diy,Confectionnez votre e-liquide DIY gourmand avec l'arôme Beignet de Readiy !,Arôme Beignet - Readiy,https://www.evaps.fr/documents/media/images/contenu/arome-beignet-readiy.jpg,2.80
283, Flawless,e_liquide,Rafraîchissez vos papilles avec le eliquide Flawless Lemon Ice Frozen ✔ une délicieuse limonade faite de citron et de menthe rafraîchissante.,Lemon Ice Frozen 100ml - Flawless,https://www.evaps.fr/documents/media/images/contenu/lemon-ice-frozen-flawless.jpg,27.90
47, Smoktech,e_cigarette,"Craquez pour le Smok Mag Baby Kit ❤. Petit et pratique, le Kit Mag Baby 50W Smoktech est d'excellente qualité et vous apportera une très bonne expérience de vape en petit format.",Kit Mag Baby 50W - Smoktech,https://www.evaps.fr/documents/media/images/contenu/kit-mag-baby-smoktech.jpg,67.90
176, Bio France,e_liquide,"L'eliquide Mandarin Subtil French Malaisien ✔ est un e-liquide bio et français, au délicieux goût d'une boisson à l'orange pétillante et rafraîchissante.Cette création fruitée de la gamme French Malaisien est fabriquée en France par la marque Bio France.",Mandarin Subtil French Malaisien - Bio France,https://www.evaps.fr/documents/media/images/contenu/mandarin-subtil-french-malaisien-bio-france.jpg,5.50
